Date,Open,High,Low,Close,Adj Close,Volume
2016/5/23,23.967501,24.297501,23.9175,24.1075,22.520861,152074400
2016/5/24,24.305,24.522499,24.209999,24.475,22.864182,140560800
2016/5/25,24.6675,24.934999,24.5275,24.905001,23.265877,152675200
2016/5/26,24.92,25.182501,24.66,25.102501,23.450378,225324800
2016/5/27,24.860001,25.1175,24.8125,25.0875,23.436363,145364800
2016/5/31,24.9,25.1,24.705,24.965,23.321924,169228800
2016/6/1,24.754999,24.885,24.5825,24.615,22.994963,116693200
2016/6/2,24.4,24.459999,24.157499,24.43,22.822144,160766400
2016/6/3,24.4475,24.567499,24.362499,24.48,22.868847,114019600
2016/6/6,24.497499,25.4725,24.387501,24.657499,23.034662,93170000
2016/6/7,24.8125,24.967501,24.74,24.7575,23.128084,89638000
2016/6/8,24.754999,24.889999,24.67,24.735001,23.107069,83392400
2016/6/9,24.625,24.997499,24.615,24.9125,23.272882,106405600
2016/6/10,24.6325,24.8375,24.620001,24.7075,23.081377,126851600
2016/6/13,24.672501,24.780001,24.275,24.334999,22.733387,152082000
2016/6/14,24.33,24.620001,24.1875,24.365,22.761415,127727600
2016/6/15,24.455,24.602501,24.2575,24.285,22.68668,117780800
2016/6/16,24.112499,24.4375,24.0175,24.387501,22.782436,125307200
2016/6/17,24.155001,24.1625,23.825001,23.8325,22.263964,244032800
2016/6/20,24,24.1425,23.7575,23.775,22.210251,137647600
2016/6/21,23.735001,24.0875,23.67,23.977501,22.399418,142185600
2016/6/22,24.0625,24.2225,23.8375,23.887501,22.315344,116876400
2016/6/23,23.985001,24.0725,23.8125,24.025,22.443794,128960800
2016/6/24,23.227501,23.665001,23.1625,23.35,21.813219,301245600
2016/6/27,23.25,23.262501,22.875,23.01,21.495594,181958400
2016/6/28,23.225,23.415001,23.035,23.397499,21.857594,161779600
2016/6/29,23.4925,23.637501,23.407499,23.6,22.046766,146124000
2016/6/30,23.610001,23.942499,23.575001,23.9,22.327021,143345600
2016/7/1,23.872499,24.1175,23.8325,23.9725,22.394749,104106000
2016/7/5,23.8475,23.85,23.615,23.747499,22.184555,110820800
2016/7/6,23.65,23.915001,23.592501,23.8825,22.310671,123796400
2016/7/7,23.924999,24.125,23.905001,23.985001,22.406425,100558400
2016/7/8,24.122499,24.2225,24.012501,24.17,22.579247,115648400
2016/7/11,24.1875,24.4125,24.182501,24.245001,22.649311,95179600
2016/7/12,24.2925,24.424999,24.280001,24.355,22.752075,96670000
2016/7/13,24.352501,24.4175,24.209999,24.217501,22.623623,103568800
2016/7/14,24.3475,24.747499,24.33,24.6975,23.072033,155676000
2016/7/15,24.73,24.825001,24.625,24.695,23.0697,120548000
2016/7/18,24.674999,25.032499,24.65,24.9575,23.31492,145975600
2016/7/19,24.889999,25,24.834999,24.967501,23.324263,95119600
2016/7/20,25,25.115,24.934999,24.99,23.345284,105104000
2016/7/21,24.9575,25.25,24.782499,24.8575,23.221504,130808000
2016/7/22,24.815001,24.825001,24.577499,24.665001,23.041672,113254800
2016/7/25,24.5625,24.709999,24.23,24.334999,22.733387,161531600
2016/7/26,24.205,24.4925,24.105,24.1675,22.576918,224959200
2016/7/27,26.067499,26.0875,25.6875,25.737499,24.043583,369379200
2016/7/28,25.7075,26.112499,25.705,26.084999,24.368214,159479200
2016/7/29,26.047501,26.137501,25.92,26.0525,24.337851,110934800
2016/8/1,26.102501,26.5375,26.102501,26.512501,24.767578,152671600
2016/8/2,26.512501,26.5175,26,26.120001,24.400913,135266400
2016/8/3,26.202499,26.459999,26.192499,26.4475,24.706854,120810400
2016/8/4,26.395,26.5,26.32,26.467501,24.859488,109634800
2016/8/5,26.567499,26.9125,26.545,26.870001,25.23753,162213600
2016/8/8,26.879999,27.092501,26.790001,27.092501,25.446508,112148800
2016/8/9,27.057501,27.235001,27.002501,27.202499,25.549829,105260800
2016/8/10,27.1775,27.225,26.940001,27,25.359632,96034000
2016/8/11,27.129999,27.2325,26.9625,26.9825,25.343191,109938000
2016/8/12,26.945,27.110001,26.945,27.045,25.401896,74641600
2016/8/15,27.035,27.385,27.02,27.370001,25.707157,103472800
2016/8/16,27.407499,27.557501,27.3025,27.344999,25.683668,135177600
2016/8/17,27.275,27.342501,27.084999,27.305,25.646103,101424000
2016/8/18,27.307501,27.4,27.254999,27.27,25.613228,87938800
2016/8/19,27.192499,27.422501,27.09,27.34,25.678976,101472400
2016/8/22,27.215,27.275,26.9625,27.127501,25.479387,103280800
2016/8/23,27.147499,27.33,27.1325,27.2125,25.559221,85030800
2016/8/24,27.1425,27.1875,26.92,27.0075,25.366678,94700400
2016/8/25,26.8475,26.969999,26.67,26.8925,25.258661,100344800
2016/8/26,26.852501,26.987499,26.577499,26.735001,25.110729,111065200
2016/8/29,26.655001,26.860001,26.5725,26.705,25.082554,99881200
2016/8/30,26.450001,26.625,26.375,26.5,24.890011,99455600
2016/8/31,26.415001,26.6425,26.41,26.525,24.913488,118649600
2016/9/1,26.535,26.700001,26.405001,26.682501,25.061424,106806000
2016/9/2,26.924999,27,26.705,26.932501,25.296234,107210000
2016/9/6,26.975,27.075001,26.877501,26.924999,25.28919,107521600
2016/9/7,26.9575,27.190001,26.7675,27.09,25.444162,169457200
2016/9/8,26.8125,26.817499,26.309999,26.379999,24.777298,212008000
2016/9/9,26.16,26.43,25.782499,25.782499,24.216099,186228000
2016/9/12,25.6625,26.43,25.6325,26.360001,24.758516,181171200
2016/9/13,26.877501,27.1975,26.809999,26.987499,25.347887,248704800
2016/9/14,27.182501,28.2575,27.15,27.942499,26.244867,443554800
